"Scenario","Scen","Beta","Method","n","MSE_se","MSE","Bias_se","Bias","Var_se","Variance","Cor_se","Correlation","Som_se","Somers_D","Detection","Detection_Max","Detection_Quad","Time"
2,"S2 (X14)",1,"Dandl Extension",50,0.0041507221410593,0.0841622922093202,0.0145759711009141,0.00239412208031965,0.00375339646890958,0.0738938603663179,0.0320090939338,0.405976723849394,0.0229074933594329,0.270576392241777,22,22,16,50.96598
2,"S2 (X14)",2,"DINA Original",50,0.00660470296273512,0.0643395263533314,0.0148990795289655,0.000814769576412703,0.00600174339648426,0.0535688542426426,0.0262819937842051,0.814737525447519,0.0302866649796692,0.651746250745203,78,78,46,6.64659999999994
2,"S2 (X14)",2,"DINA Cross-Fit",50,0.00379789939212652,0.0832764354292537,0.0146333249473694,0.00279446669227949,0.00300925320840346,0.0729218944222541,0.0374953561548278,0.546872003540209,0.0275445539478954,0.379447208008603,78,78,46,7.38730000000005
2,"S2 (X14)",2,"DINA Gao (LASSO k2)",50,0.00496892897823511,0.071887784670551,0.014453307646902,0.00322310726503578,0.00456153849247013,0.0617649190934321,0.0417787941257146,0.678128732402989,0.0367860790872164,0.516570091671331,80,80,50,25.2974
2,"S2 (X14)",2,"DR-learner (2-Model 2SL)",50,0.00382695063983856,0.0723432633261815,0.0149266827808034,0.00473780903720071,0.00287800665646552,0.0615263821729565,0.0244539820255283,0.649348133319813,0.019951761292634,0.476453837038293,78,78,50,101.7298
2,"S2 (X14)",2,"R-learner (LASSO)",50,0.00575003727736424,0.0545548984040829,0.014884560825988,0.000747298093970301,0.00511316032233723,0.0437859544604182,0.0277613877147207,0.845008280844797,0.0338444355254996,0.702234870075181,78,78,46,0.103500000000006
2,"S2 (X14)",2,"Dandl Extension",50,0.00499698813694429,0.100698646828823,0.0150971407237224,0.00178403714858145,0.00465371918019388,0.0897066180327793,0.0192509995163789,0.683984390872098,0.0173869381406815,0.482530455829485,78,78,46,50.46482
3,"S3 (X14, X1)",0,"DINA Original",50,0.00773584199935587,0.0307572090206929,0.015149157743678,0.000139503421396887,0.00775431257123882,0.0195509394014922,0.0337139951424627,-0.0527956291554535,NA,NA,2,2,4,2.84990000000002
3,"S3 (X14, X1)",0,"DINA Cross-Fit",50,0.00247549831781804,0.022386527567728,0.0152423942779814,0.000711884277688352,0.00155520347839071,0.0110238699454474,0.0257125113592603,-0.0134803760808681,NA,NA,2,2,4,6.78411999999998
3,"S3 (X14, X1)",0,"DINA Gao (LASSO k2)",50,0.00365257061687845,0.0251472752832539,0.0145021635418134,0.000633901975017913,0.0030586070460488,0.0148712914120826,0.0289099117535988,0.0146846443042751,NA,NA,2,2,8,23.80116
3,"S3 (X14, X1)",0,"DR-learner (2-Model 2SL)",50,0.00206177338502768,0.0289221342542063,0.0149499285028607,0.00133779413886635,0.00156108469104387,0.018004836484225,0.0298007235708786,0.00584760552998717,NA,NA,4,4,4,102.97078
3,"S3 (X14, X1)",0,"R-learner (LASSO)",50,0.00747541036615155,0.0313107246800266,0.0151516961006904,0.000159967819247935,0.00750989286228553,0.0201017818122918,0.0356059279574145,0.00393299202274917,NA,NA,2,2,4,0.110320000000024
3,"S3 (X14, X1)",0,"Dandl Extension",50,0.00347464506960862,0.0803197037312723,0.0151818826854633,0.000540929830422382,0.00336669394811,0.0691637500944965,0.0271216032792325,-0.00305693872601617,NA,NA,2,2,4,49.9166599999999
3,"S3 (X14, X1)",1,"DINA Original",50,0.00695130012162765,0.0623924006367743,0.0148313350395133,-0.00180404104083108,0.00695535324346528,0.0517141178547463,0.0436469686107136,0.273875134072833,0.0384328331353545,0.242072250955322,22,22,16,4.38001999999996
3,"S3 (X14, X1)",1,"DINA Cross-Fit",50,0.00254501942792167,0.0507950971509472,0.0146150044874874,-0.00393823881987756,0.00168513382373065,0.0403940560858219,0.0279013783362093,0.146772723373127,0.0255813789304703,0.128165427366082,22,22,16,6.46912000000006
3,"S3 (X14, X1)",1,"DINA Gao (LASSO k2)",50,0.003363155238143,0.0542407011151378,0.0146546947033176,-0.0012585000915351,0.0029113939886804,0.0438034804881088,0.0390814478666427,0.197700876665176,0.0332762318207555,0.16624673679572,16,16,22,22.50924
3,"S3 (X14, X1)",1,"DR-learner (2-Model 2SL)",50,0.00252610242588791,0.0498750171801065,0.0150706847233684,-0.00151927219962498,0.00127997805659036,0.0388212000286199,0.0280322834896035,0.241187447371252,0.0250386894072949,0.20189490065806,18,18,18,96.7508
3,"S3 (X14, X1)",1,"R-learner (LASSO)",50,0.00729539067747886,0.0581050790376091,0.0148306552521698,-0.00174003377380423,0.00721106383430742,0.0474194217383248,0.0543127550712752,0.343689651298419,0.0473869363677919,0.294571317936674,22,22,16,0.10412
