"Treatment_Scenario","Scenario","Beta","Method","N_Sims","Mean_MSE","SD_MSE","Mean_Bias","Mean_Variance","Mean_Correlation","Mean_Somers_D","Mean_MAE","Mean_P_Value","Mean_P_Value_Max","Mean_P_Value_Quad","Detection_Rate","Detection_Rate_Max","Detection_Rate_Quad","Mean_Time_Sec"
"RCT",3,1,"DINA Original",50,0.0623924006367743,0.0491531145406578,-0.00180404104083108,0.0517141178547463,0.273875134072833,0.242072250955322,0.195749475458008,0.369019980409193,0.369019980409193,0.369630555085481,22,22,16,4.38001999999996
"RCT",3,1,"Dandl Extension",50,0.0942377962253908,0.0273322476515688,-0.000335914998797147,0.0839218974664757,0.34146084325745,0.290076689424049,0.244558493260114,0.369017595399964,0.369017595399964,0.369630555085481,22,22,16,46.28504
"RCT",3,2,"DR-learner (2-Model 2SL)",50,0.110071631493466,0.024370583736502,0.000194332153871861,0.098067096839925,0.489089273231499,0.432599833698953,0.282547352304569,0.160346417465905,0.160346417465905,0.20062830068208,46,46,34,95.89878
"RCT",3,2,"R-learner (LASSO)",50,0.12099172781245,0.060892685779779,-0.00137754522296646,0.109469790112918,0.588041689499964,0.513286118861102,0.289903288748956,0.172582334092742,0.172582334092742,0.221519233057122,44,44,38,0.130639999999999
"RCT",3,2,"DINA Gao (LASSO k2)",50,0.123302527787263,0.0279428960675599,-0.000332310749281846,0.112428410546586,0.413332332767505,0.374727675810636,0.303717364802028,0.173282944777465,0.173282944777465,0.230249719434135,46,46,38,23.3900199999999
"RCT",3,2,"Dandl Extension",50,0.128638803536096,0.0349661585197566,0.00098194887184229,0.117173716502951,0.610910279029029,0.543617581077503,0.285357415646979,0.172515460305484,0.172515460305484,0.221519233057122,44,44,38,51.2123
"RCT",3,2,"DINA Cross-Fit",50,0.130684565885763,0.0273658621355295,-0.00170063181522515,0.118723612266009,0.320191591904707,0.29051571291996,0.318343140481999,0.172550763320962,0.172550763320962,0.221519233057122,44,44,38,7.02907999999998
"RCT",3,2,"DINA Original",50,0.130855958108545,0.0556893480238995,-0.00176134155684344,0.119326880463449,0.496716659892606,0.442793858429422,0.302814012583608,0.17257387398238,0.17257387398238,0.221519233057122,44,44,38,5.71226000000005
"RCT",4,0,"R-learner (LASSO)",50,0.0194494632627611,0.0235420259021972,-0.00312068640231597,0.00930838069105188,0.00528283829227117,NA,0.106448667596596,0.506371789082522,0.506371789082522,0.440077259121706,4,4,8,0.0999999999999602
"RCT",4,0,"DINA Gao (LASSO k2)",50,0.0230219141327414,0.0267702560366271,-0.00229960271890017,0.0124776305228903,-0.0158122459581365,NA,0.112663116361971,0.468855687092282,0.468855687092282,0.451840898331532,0,0,8,21.6717
"RCT",4,0,"DINA Cross-Fit",50,0.0234217557567281,0.021044449869037,-0.00248457237405373,0.0134440542012617,0.00148481417192275,NA,0.11445548551574,0.506400981895806,0.506400981895806,0.440077259121706,4,4,8,6.26020000000001
"RCT",4,0,"DR-learner (2-Model 2SL)",50,0.0247695288411978,0.0169410492020698,-0.00323550089786063,0.014674696822963,-0.00737728943066342,NA,0.123527003951642,0.506964202272515,0.506964202272515,0.438058210211003,4,4,6,96.5612
"RCT",4,0,"DINA Original",50,0.0264064598895044,0.0386224202757214,-0.00318122755244378,0.0162399259477992,0.00535937099878668,NA,0.115580286736058,0.506403106527993,0.506403106527993,0.440077259121706,4,4,8,2.63707999999997
"RCT",4,0,"Dandl Extension",50,0.0755054369813003,0.027184945579332,-0.00210888653069746,0.0652197601481385,-0.00071224174686026,NA,0.21826124707101,0.506391854455074,0.506391854455074,0.440077259121706,4,4,8,43.57622
"RCT",4,1,"DINA Original",50,0.0458174406391216,0.0230732206956702,-0.00402323944279857,0.0355777046653693,0.151524417566843,0.0920980749715829,0.165188195059507,0.420121855262894,0.420121855262894,0.378066198681243,10,10,8,2.98367999999999
"RCT",4,1,"DR-learner (2-Model 2SL)",50,0.0461066803944492,0.0156745903764449,-0.0025426100052988,0.0357749807735426,0.174526271818383,0.106584504593355,0.168399468075765,0.421025160373232,0.421025160373232,0.382482344866002,6,6,4,96.05296
"RCT",4,1,"DINA Cross-Fit",50,0.0484904101380729,0.0200918013107394,-0.00317575120163663,0.0379550506416941,0.0809405954121053,0.0498146751616131,0.172004117807436,0.420094925591373,0.420094925591373,0.378066198681243,10,10,8,6.96107999999997
"RCT",4,1,"DINA Gao (LASSO k2)",50,0.0496972627131847,0.0208670366431551,-0.00328475806121039,0.0397457171665415,0.130824338765281,0.0980089640930836,0.173940194391756,0.403385426323631,0.403385426323631,0.392205991084248,6,6,12,22.01104
"RCT",4,1,"R-learner (LASSO)",50,0.050837019229978,0.044629559616242,-0.00400098616006033,0.0405913453283015,0.216325187100746,0.145759167986898,0.174950110718347,0.420107625534412,0.420107625534412,0.378066198681243,10,10,8,0.102299999999992
"RCT",4,1,"Dandl Extension",50,0.0956466730710723,0.0341067649721287,-0.00335152173575485,0.0853416850102917,0.201383492518178,0.12394550229879,0.244188112446279,0.420106423899696,0.420106423899696,0.378066198681243,10,10,8,43.65178
"RCT",4,2,"DR-learner (2-Model 2SL)",50,0.106735595516247,0.0199751344008364,-0.00259548429503144,0.0968145553288204,0.313221569408498,0.179160213982188,0.255939419316683,0.255948743585666,0.255948743585666,0.277203525035345,20,20,18,98.0562
"RCT",4,2,"DINA Gao (LASSO k2)",50,0.117376086516991,0.0195082340050803,-0.00440120924006478,0.107537812886983,0.239604489491504,0.150931369467927,0.269515547189432,0.280944714673439,0.280944714673439,0.2822928789596,28,28,22,23.07256
"RCT",4,2,"R-learner (LASSO)",50,0.117790333402457,0.0486948220628158,-0.00791374366245148,0.107541895772623,0.39678922601523,0.246026930933289,0.268849232817204,0.260777322826186,0.260777322826186,0.275984046858605,22,22,20,0.106959999999995
"RCT",4,2,"DINA Cross-Fit",50,0.118522272375915,0.0216483612289688,-0.00672506915843459,0.108561660777163,0.153140238444363,0.0952208951352096,0.268703569159288,0.260743059332285,0.260743059332285,0.275984046858605,20,20,20,6.81801999999996
"RCT",4,2,"DINA Original",50,0.124768997267141,0.0476668001340933,-0.00788112664207727,0.114548883305641,0.289255685559465,0.176141347250607,0.273095632632723,0.260749566110352,0.260749566110352,0.275984046858605,22,22,20,3.77136000000002
"RCT",4,2,"Dandl Extension",50,0.130040318082072,0.0420242410008286,-0.00538061505153643,0.119889085715046,0.423773190367451,0.240858668690631,0.282716905426842,0.260743743461926,0.260743743461926,0.275984046858605,20,20,20,45.2138
