"Treatment_Scenario","Scenario","Beta","Method1","Method2","N_Sims","Mean_Delta","SD_Delta","MC_CI_Lo","MC_CI_Hi","Pct_Sims_Sig","Pct_Sims_Method1_Wins","Pct_Sims_Method2_Wins","Pct_Sims_Tie","Overall_Winner"
"RCT",1,1,"DINA Cross-Fit","DINA Gao (LASSO k2)",50,-0.00291121674089629,0.0436633265935168,-0.0150140733956842,0.00919163991389164,14,10,4,86,"Tie"
"RCT",1,1,"DINA Cross-Fit","Dandl Extension",50,-0.024723667126782,0.050133067140927,-0.0386198443676977,-0.0108274898858663,4,4,0,96,"DINA Cross-Fit"
"RCT",1,1,"DINA Cross-Fit","R-learner (LASSO)",50,0.00569675746096605,0.046206369373021,-0.00711099468916197,0.0185045096110941,14,6,8,86,"Tie"
"RCT",1,1,"DINA Cross-Fit","WATCH (Residual LASSO)",50,-0.012270086417043,0.0526301280310703,-0.0268584136238335,0.00231824078974754,6,4,2,94,"Tie"
"RCT",1,1,"DINA Cross-Fit","WATCH (Residual Risk)",50,-0.0102504154216823,0.0507304803413635,-0.0243121871532761,0.00381135630991143,8,6,2,92,"Tie"
"RCT",1,1,"DINA Gao (GLM k2)","DINA Gao (LASSO k2)",50,0.248868721350128,0.0913861442146934,0.223537774536093,0.274199668164163,84,0,84,16,"DINA Gao (LASSO k2)"
"RCT",1,1,"DINA Gao (GLM k2)","Dandl Extension",50,0.227056270964242,0.1012938080702,0.198979059841412,0.255133482087072,78,0,78,22,"Dandl Extension"
"RCT",1,1,"DINA Gao (GLM k2)","R-learner (LASSO)",50,0.25747669555199,0.0967565080408194,0.230657159831829,0.284296231272151,82,0,82,18,"R-learner (LASSO)"
"RCT",1,1,"DINA Gao (GLM k2)","WATCH (Residual LASSO)",50,0.239509851673981,0.112833894214236,0.208233891869325,0.270785811478637,80,0,80,20,"WATCH (Residual LASSO)"
"RCT",1,1,"DINA Gao (GLM k2)","WATCH (Residual Risk)",50,0.241529522669342,0.111982305069286,0.210489611332684,0.272569434006,80,0,80,20,"WATCH (Residual Risk)"
"RCT",1,1,"DINA Gao (LASSO k2)","Dandl Extension",50,-0.0218124503858857,0.0546298399842063,-0.0369550694666093,-0.00666983130516216,10,8,2,90,"DINA Gao (LASSO k2)"
"RCT",1,1,"DINA Gao (LASSO k2)","R-learner (LASSO)",50,0.00860797420186235,0.042339145555099,-0.00312783819534633,0.020343786599071,16,8,8,84,"Tie"
"RCT",1,1,"DINA Gao (LASSO k2)","WATCH (Residual LASSO)",50,-0.00935886967614668,0.0631168608928459,-0.0268539709312061,0.00813623157891275,8,6,2,92,"Tie"
"RCT",1,1,"DINA Gao (LASSO k2)","WATCH (Residual Risk)",50,-0.00733919868078602,0.061650673352897,-0.0244278934842657,0.00974949612269368,8,6,2,92,"Tie"
"RCT",1,1,"DINA Original","DINA Cross-Fit",50,0.00762501550033059,0.078621033059347,-0.0141676230227706,0.0294176540234317,10,2,8,90,"Tie"
"RCT",1,1,"DINA Original","DINA Gao (GLM k2)",50,-0.244154922590694,0.0896185233165841,-0.268995909889069,-0.219313935292318,82,82,0,18,"DINA Original"
"RCT",1,1,"DINA Original","DINA Gao (LASSO k2)",50,0.0047137987594343,0.0639293050659299,-0.0130065005310014,0.02243409804987,18,10,8,82,"Tie"
"RCT",1,1,"DINA Original","Dandl Extension",50,-0.0170986516264514,0.0757598190531673,-0.0380982020896839,0.00390089883678106,16,12,4,84,"Tie"
"RCT",1,1,"DINA Original","R-learner (LASSO)",50,0.0133217729612966,0.0476449413756198,0.000115268996009634,0.0265282769265836,22,8,14,78,"R-learner (LASSO)"
"RCT",1,1,"DINA Original","WATCH (Residual LASSO)",50,-0.00464507091671239,0.089512701972132,-0.0294567260349078,0.020166584201483,12,10,2,88,"Tie"
"RCT",1,1,"DINA Original","WATCH (Residual Risk)",50,-0.00262539992135173,0.0900326602991276,-0.0275811801346567,0.0223303802919532,10,8,2,90,"Tie"
"RCT",1,1,"DR-learner (2-Model 2SL)","DINA Cross-Fit",50,-0.00503548844020326,0.0293888531059214,-0.0131816629106202,0.00311068603021374,10,4,6,90,"Tie"
"RCT",1,1,"DR-learner (2-Model 2SL)","DINA Gao (GLM k2)",50,-0.256815426531227,0.103285148992261,-0.285444609196557,-0.228186243865897,82,82,0,18,"DR-learner (2-Model 2SL)"
"RCT",1,1,"DR-learner (2-Model 2SL)","DINA Gao (LASSO k2)",50,-0.00794670518109955,0.0409710249295388,-0.0193032938885568,0.00340988352635773,4,2,2,96,"Tie"
"RCT",1,1,"DR-learner (2-Model 2SL)","DINA Original",50,-0.0126605039405338,0.0684620333980204,-0.0316372114238014,0.00631620354273371,14,8,6,86,"Tie"
"RCT",1,1,"DR-learner (2-Model 2SL)","DR-learner (Kennedy)",50,-0.00612009564710237,0.0481346613423459,-0.0194623430616564,0.00722215176745161,12,6,6,88,"Tie"
"RCT",1,1,"DR-learner (2-Model 2SL)","Dandl Extension",50,-0.0297591555669853,0.0406594757709794,-0.0410293872535479,-0.0184889238804226,4,4,0,96,"DR-learner (2-Model 2SL)"
"RCT",1,1,"DR-learner (2-Model 2SL)","R-learner (LASSO)",50,0.000661269020762798,0.0373826646993172,-0.00970067697665957,0.0110232150181852,14,6,8,86,"Tie"
"RCT",1,1,"DR-learner (2-Model 2SL)","WATCH (Residual LASSO)",50,-0.0173055748572462,0.0582021251922371,-0.0334383808791827,-0.00117276883530971,14,8,6,86,"DR-learner (2-Model 2SL)"
"RCT",1,1,"DR-learner (2-Model 2SL)","WATCH (Residual Risk)",50,-0.0152859038618856,0.0567471761849831,-0.0310154185945726,0.000443610870801438,14,8,6,86,"Tie"
"RCT",1,1,"DR-learner (Kennedy)","DINA Cross-Fit",50,0.0010846072068991,0.0615570709158101,-0.0159781423247247,0.0181473567385229,10,6,4,90,"Tie"
"RCT",1,1,"DR-learner (Kennedy)","DINA Gao (GLM k2)",50,-0.250695330884125,0.090378627311698,-0.275747008260727,-0.225643653507523,82,82,0,18,"DR-learner (Kennedy)"
"RCT",1,1,"DR-learner (Kennedy)","DINA Gao (LASSO k2)",50,-0.00182660953399719,0.0496849360051098,-0.015598571161434,0.0119453520934397,14,10,4,86,"Tie"
"RCT",1,1,"DR-learner (Kennedy)","DINA Original",50,-0.00654040829343148,0.0395849503368906,-0.0175127967253615,0.00443198013849854,12,10,2,88,"Tie"
"RCT",1,1,"DR-learner (Kennedy)","Dandl Extension",50,-0.0236390599198829,0.0505852080248711,-0.0376605642197534,-0.00961755562001246,18,14,4,82,"DR-learner (Kennedy)"
"RCT",1,1,"DR-learner (Kennedy)","R-learner (LASSO)",50,0.00678136466786516,0.0345799538955107,-0.00280370953004729,0.0163664388657776,16,10,6,84,"Tie"
"RCT",1,1,"DR-learner (Kennedy)","WATCH (Residual LASSO)",50,-0.0111854792101439,0.0750869795101487,-0.0319985280671969,0.0096275696469092,12,10,2,88,"Tie"
"RCT",1,1,"DR-learner (Kennedy)","WATCH (Residual Risk)",50,-0.00916580821478321,0.0744190532956549,-0.0297937173708407,0.0114621009412743,12,10,2,88,"Tie"
"RCT",1,1,"Dandl Extension","R-learner (LASSO)",50,0.0304204245877481,0.0562441433303445,0.0148303434485895,0.0460105057269066,14,2,12,86,"R-learner (LASSO)"
"RCT",1,1,"Dandl Extension","WATCH (Residual LASSO)",50,0.012453580709739,0.0626120676447088,-0.00490159899560925,0.0298087604150873,10,4,6,90,"Tie"
"RCT",1,1,"Dandl Extension","WATCH (Residual Risk)",50,0.0144732517050997,0.0611167846326284,-0.00246745669525563,0.031413960105455,8,2,6,92,"Tie"
"RCT",1,1,"R-learner (LASSO)","WATCH (Residual LASSO)",50,-0.017966843878009,0.0611268544960829,-0.0349103435021082,-0.00102334425390984,12,10,2,88,"R-learner (LASSO)"
"RCT",1,1,"R-learner (LASSO)","WATCH (Residual Risk)",50,-0.0159471728826484,0.0606534932923437,-0.0327594634752386,0.000865117709941896,12,10,2,88,"Tie"
"RCT",1,1,"WATCH (Residual LASSO)","WATCH (Residual Risk)",50,0.00201967099536066,0.0101509829965813,-0.000794037938375393,0.00483337992909671,10,6,4,90,"Tie"
"RCT",1,2,"DINA Cross-Fit","DINA Gao (GLM k2)",50,-0.209747384277863,0.108435153148115,-0.239804075264997,-0.17969069329073,42,42,0,58,"DINA Cross-Fit"
"RCT",1,2,"DINA Cross-Fit","DINA Gao (LASSO k2)",50,0.0113477777406738,0.0370341883679446,0.00108242445423404,0.0216131310271135,10,2,8,90,"DINA Gao (LASSO k2)"
"RCT",1,2,"DINA Cross-Fit","Dandl Extension",50,0.028972339652836,0.0758933663430673,0.00793577176943894,0.050008907536233,10,0,10,90,"Dandl Extension"
